aggregate_rows,count_sum,dictionary_cut,dictionary_kept_rows,direction,ngram_order,phrase_token_length,row_count,source_output_file_count
751743,35344589127,normal,753906,fwd,3,7,751743,12
3158200,73502012953,normal,3166736,fwd,3,8,3158200,15
9947733,103930385497,normal,9969777,fwd,3,9,9947733,24
21382194,113818578959,normal,21420665,fwd,3,10,21382194,28
37641651,123750423667,normal,37695683,fwd,3,11,37641651,39
53022442,118376300850,normal,53085178,fwd,3,12,53022442,43
66185311,105904300606,normal,66255025,fwd,3,13,66185311,47
75892922,99863221495,normal,75974925,fwd,3,14,75892922,53
75863134,75039517981,normal,75950807,fwd,3,15,75863134,55
73318488,61572385318,normal,73413282,fwd,3,16,73318488,60
63566748,45715899566,normal,63660637,fwd,3,17,63566748,66
49109642,31255660110,normal,49188478,fwd,3,18,49109642,61
37074598,21044217882,normal,37140065,fwd,3,19,37074598,58
18625018,9881675410,normal,18661121,fwd,3,20,18625018,37
14906440,7458966577,normal,14942457,fwd,3,21,14906440,39
8522460,3844590162,normal,8541786,fwd,3,22,8522460,32
2277869,1024545271,normal,2283665,fwd,3,23,2277869,11
1569276,606105844,normal,1573260,fwd,3,24,1569276,12
738895,286665481,normal,740080,fwd,3,25,738895,6
212899,67494967,normal,213236,fwd,3,26,212899,4
142597,47461899,normal,142822,fwd,3,27,142597,4
19530,6333072,normal,19545,fwd,3,28,19530,2
76982,26956004,normal,77132,fwd,3,29,76982,3
12440,4192106,normal,12513,fwd,3,30,12440,1
9667,3291995,normal,9717,fwd,3,32,9667,1
3477,855123,normal,3489,fwd,3,33,3477,1
7932,1137228140,strict,7938,fwd,3,5,7932,4
103642,8876677794,strict,103893,fwd,3,6,103642,7
751234,35343882110,strict,753397,fwd,3,7,751234,12
3029668,72888425732,strict,3037762,fwd,3,8,3029668,15
8737363,99279153751,strict,8756077,fwd,3,9,8737363,24
16799189,104518725284,strict,16826884,fwd,3,10,16799189,28
25993884,109002309463,strict,26025068,fwd,3,11,25993884,39
33628023,100000327159,strict,33657195,fwd,3,12,33628023,43
39673721,86198210406,strict,39699009,fwd,3,13,39673721,47
43707937,78675832468,strict,43729252,fwd,3,14,43707937,53
42943737,57314896044,strict,42960992,fwd,3,15,42943737,55
41104404,46179178996,strict,41120209,fwd,3,16,41104404,60
35625018,33475081475,strict,35638726,fwd,3,17,35625018,66
27104878,22085675182,strict,27115151,fwd,3,18,27104878,61
20725717,14728088491,strict,20733609,fwd,3,19,20725717,58
10417026,6745434608,strict,10423390,fwd,3,20,10417026,37
8320581,4943040103,strict,8325416,fwd,3,21,8320581,39
4836804,2540761909,strict,4840067,fwd,3,22,4836804,32
1271249,667164342,strict,1272249,fwd,3,23,1271249,11
912109,397870982,strict,912793,fwd,3,24,912109,12
414806,171774833,strict,414996,fwd,3,25,414806,6
122068,40364013,strict,122149,fwd,3,26,122068,4
79764,27510351,strict,79867,fwd,3,27,79764,4
10001,2971074,strict,10001,fwd,3,28,10001,2
44140,16003053,strict,44150,fwd,3,29,44140,3
6905,2354762,strict,6924,fwd,3,30,6905,1
5285,2178583,strict,5288,fwd,3,32,5285,1
1955,466419,strict,1958,fwd,3,33,1955,1
