aggregate_rows,count_sum,dictionary_cut,dictionary_kept_rows,direction,ngram_order,row_count,source_output_file_count,word_position,word_token_length
6265564,183935802162,strict,6292518,fwd,2,6265564,13,1,4
4796764,122130789955,strict,4808714,fwd,2,4796764,12,1,5
5232095,93152874580,strict,5240861,fwd,2,5232095,13,1,6
4956402,83272071262,strict,4961134,fwd,2,4956402,13,1,7
3961485,58824295265,strict,3964684,fwd,2,3961485,11,1,8
2983192,41184861678,strict,2985400,fwd,2,2983192,10,1,9
1857585,25828284989,strict,1862402,fwd,2,1857585,9,1,10
1294992,14122777964,strict,1295892,fwd,2,1294992,10,1,11
486747,5929234522,strict,489048,fwd,2,486747,7,1,12
240730,1051293885,strict,241363,fwd,2,240730,4,1,13
79872,198177863,strict,79885,fwd,2,79872,3,1,14
16066,32300961028,strict,16117,fwd,2,16066,9,2,1
309948,330447225136,strict,310688,fwd,2,309948,12,2,2
2316222,224045905371,strict,2324048,fwd,2,2316222,12,2,3
6250001,194726594784,strict,6272678,fwd,2,6250001,14,2,4
4926489,132563595293,strict,4940623,fwd,2,4926489,13,2,5
5136651,102810374941,strict,5145453,fwd,2,5136651,13,2,6
4896744,92643598316,strict,4902448,fwd,2,4896744,13,2,7
4180725,67307269839,strict,4185563,fwd,2,4180725,13,2,8
2649368,46084584466,strict,2651899,fwd,2,2649368,9,2,9
2147189,31148433652,strict,2152506,fwd,2,2147189,11,2,10
1299635,15868255685,strict,1300537,fwd,2,1299635,9,2,11
536900,6567977100,strict,539281,fwd,2,536900,6,2,12
89956,1623563537,strict,90490,fwd,2,89956,3,2,13
56617,229986073,strict,56640,fwd,2,56617,2,2,14
4415346,23747031160,normal,4423101,fwd,3,4415346,41,1,1
70960599,307514707097,normal,71073533,fwd,3,70960599,91,1,2
91705705,217310797045,normal,91832919,fwd,3,91705705,99,1,3
104900534,148695211642,normal,105034714,fwd,3,104900534,98,1,4
88290152,102715486485,normal,88395461,fwd,3,88290152,78,1,5
74834615,73247125507,normal,74922518,fwd,3,74834615,74,1,6
70128597,66785148343,normal,70201354,fwd,3,70128597,72,1,7
52199795,46920244393,normal,52272029,fwd,3,52199795,54,1,8
31965129,30460470543,normal,32027009,fwd,3,31965129,42,1,9
17397726,17063996035,normal,17448760,fwd,3,17397726,34,1,10
5331388,5795924273,normal,5351396,fwd,3,5331388,21,1,11
1774027,2021612241,normal,1784169,fwd,3,1774027,14,1,12
182343,80000248,normal,182772,fwd,3,182343,4,1,13
58186,32964593,normal,58295,fwd,3,58186,3,1,14
6451432,26302661783,normal,6463825,fwd,3,6451432,42,2,1
101525508,311159583874,normal,101731552,fwd,3,101525508,94,2,2
111135012,198586081705,normal,111315903,fwd,3,111135012,97,2,3
91889233,151790806562,normal,92000962,fwd,3,91889233,98,2,4
83308231,105985715393,normal,83386316,fwd,3,83308231,81,2,5
71695316,83154552313,normal,71761437,fwd,3,71695316,78,2,6
55670082,66714223617,normal,55717512,fwd,3,55670082,63,2,7
43282384,48795066832,normal,43327305,fwd,3,43282384,59,2,8
28082594,27230339991,normal,28134021,fwd,3,28082594,42,2,9
13790237,15733202672,normal,13825386,fwd,3,13790237,31,2,10
5414291,4786381578,normal,5434249,fwd,3,5414291,21,2,11
1717634,2033235018,normal,1726947,fwd,3,1717634,13,2,12
139236,104244085,normal,139590,fwd,3,139236,3,2,13
42952,14624182,normal,43025,fwd,3,42952,3,2,14
3879995,20710452994,normal,3885791,fwd,3,3879995,42,3,1
78238416,279419681599,normal,78366600,fwd,3,78238416,94,3,2
95609439,189310086752,normal,95745458,fwd,3,95609439,102,3,3
100044556,158456310870,normal,100181277,fwd,3,100044556,99,3,4
91117589,114070638905,normal,91222110,fwd,3,91117589,84,3,5
78389242,91253880839,normal,78469626,fwd,3,78389242,66,3,6
66958684,78489444139,normal,67030838,fwd,3,66958684,66,3,7
46087528,51316008511,normal,46145462,fwd,3,46087528,59,3,8
29391041,34145708979,normal,29457116,fwd,3,29391041,43,3,9
14911462,16703189582,normal,14951317,fwd,3,14911462,34,3,10
7587887,7023256145,normal,7614913,fwd,3,7587887,23,3,11
1659944,1322443952,normal,1667665,fwd,3,1659944,9,3,12
257014,165877676,normal,258494,fwd,3,257014,3,3,13
11345,3738662,normal,11363,fwd,3,11345,1,3,14
2541374,21275138402,strict,2545556,fwd,3,2541374,41,1,1
38193135,265285554911,strict,38227335,fwd,3,38193135,91,1,2
58237470,192758914652,strict,58279625,fwd,3,58237470,99,1,3
74719967,133582149895,strict,74786276,fwd,3,74719967,98,1,4
52260015,85110204649,strict,52297271,fwd,3,52260015,78,1,5
42143248,57588350960,strict,42168755,fwd,3,42143248,74,1,6
39600389,52201099390,strict,39608816,fwd,3,39600389,72,1,7
28094974,35496277925,strict,28100788,fwd,3,28094974,54,1,8
16859394,22814056494,strict,16862445,fwd,3,16859394,42,1,9
9432173,12913999941,strict,9446116,fwd,3,9432173,34,1,10
3123247,4574973928,strict,3123703,fwd,3,3123247,21,1,11
1017962,1576805680,strict,1021974,fwd,3,1017962,14,1,12
120567,60270701,strict,120624,fwd,3,120567,4,1,13
35125,23789999,strict,35126,fwd,3,35125,3,1,14
3889452,23346628074,strict,3895331,fwd,3,3889452,42,2,1
54905446,267731436367,strict,54960213,fwd,3,54905446,94,2,2
68816593,174843072443,strict,68871482,fwd,3,68816593,97,2,3
65325522,138714647200,strict,65376671,fwd,3,65325522,98,2,4
50135416,88254542981,strict,50162055,fwd,3,50135416,81,2,5
40702707,65644884015,strict,40722635,fwd,3,40702707,78,2,6
31948958,52645748350,strict,31957087,fwd,3,31948958,63,2,7
23817852,37010850816,strict,23823472,fwd,3,23817852,59,2,8
14922490,19855174731,strict,14925363,fwd,3,14922490,42,2,9
7628124,11964416503,strict,7639354,fwd,3,7628124,31,2,10
3177377,3637337964,strict,3177807,fwd,3,3177377,21,2,11
1005485,1531644116,strict,1009283,fwd,3,1005485,13,2,12
75895,71689822,strict,75934,fwd,3,75895,3,2,13
27723,9514145,strict,27723,fwd,3,27723,3,2,14
2395730,19263175283,strict,2398390,fwd,3,2395730,42,3,1
44599476,248216493791,strict,44639125,fwd,3,44599476,94,3,2
59566292,166187852591,strict,59611390,fwd,3,59566292,102,3,3
71060620,145154576352,strict,71126569,fwd,3,71060620,99,3,4
53444822,93152510515,strict,53476341,fwd,3,53444822,84,3,5
43672126,70581901225,strict,43691885,fwd,3,43672126,66,3,6
37464519,60754225599,strict,37476705,fwd,3,37464519,66,3,7
25431690,38410182140,strict,25438248,fwd,3,25431690,59,3,8
15160454,24623525366,strict,15164760,fwd,3,15160454,43,3,9
8130563,12544226060,strict,8143617,fwd,3,8130563,34,3,10
4313514,5270130032,strict,4314634,fwd,3,4313514,23,3,11
985993,976780405,strict,989049,fwd,3,985993,9,3,12
146239,123459048,strict,146695,fwd,3,146239,3,3,13
7002,2549120,strict,7002,fwd,3,7002,1,3,14
